"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/components/ColorSchemeToggle.tsx", "TypeScript JSX", 0, 56, 0, 0, 2, 58
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/components/Header.tsx", "TypeScript JSX", 0, 46, 0, 0, 2, 48
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/components/PageBase.tsx", "TypeScript JSX", 0, 134, 0, 0, 4, 138
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/components/Sidebar.tsx", "TypeScript JSX", 0, 210, 0, 0, 5, 215
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/index.tsx", "TypeScript JSX", 0, 74, 0, 0, 3, 77
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/About.tsx", "TypeScript JSX", 0, 208, 0, 1, 1, 210
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/CapeManage.tsx", "TypeScript JSX", 0, 478, 0, 1, 35, 514
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/GameProfile.tsx", "TypeScript JSX", 0, 296, 0, 1, 16, 313
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/Login.tsx", "TypeScript JSX", 0, 399, 0, 10, 13, 422
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/NoPermission.tsx", "TypeScript JSX", 0, 74, 0, 0, 3, 77
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/NotFound.tsx", "TypeScript JSX", 0, 74, 0, 0, 3, 77
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/OAuthManager.tsx", "TypeScript JSX", 0, 220, 0, 0, 14, 234
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/OAuthReq.tsx", "TypeScript JSX", 0, 267, 0, 0, 9, 276
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/OverView.tsx", "TypeScript JSX", 0, 130, 0, 0, 2, 132
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/Root.tsx", "TypeScript JSX", 0, 88, 0, 0, 3, 91
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/Setting.tsx", "TypeScript JSX", 0, 120, 0, 0, 6, 126
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/UserManage.tsx", "TypeScript JSX", 0, 441, 0, 1, 28, 470
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/setupProxy.js", "JavaScript", 0, 0, 17, 0, 0, 17
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/utils.ts", "TypeScript", 35, 0, 0, 1, 4, 40
"Total", "-", 35, 3315, 17, 15, 153, 3535
